Fuente
1
Sumidero
50
Puntos Intermedios
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Conexiones
1,2,3
1,3,3
1,49,3
2,4,3
2,5,3
3,4,3
3,5,3
3,6,3
4,6,3
4,7,3
5,4,3
5,7,3
6,8,3
7,8,3
8,9,3
8,10,7
9,11,7
10,12,7
10,11,7
11,12,7
11,13,7
12,14,7
13,15,7
14,16,7
15,17,7
16,18,7
17,19,7
18,20,7
19,20,7
20,22,7
21,23,7
22,24,7
23,25,7
24,26,7
25,27,7
26,28,7
27,29,7
28,30,7
30,32,7
31,33,7
32,34,7
33,35,7
34,36,7
35,37,7
36,38,7
37,39,7
38,40,7
39,40,7
40,42,7
41,43,7
42,44,7
43,45,7
44,46,7
45,47,7
46,48,7
47,49,7
48,50,7
49,50,7
